Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID906,          Bikol,0,3058
ID907,"          Bisaya, n.o.s.",0,3058
ID908,          Cebuano,0,3058
ID909,          Fijian,0,3058
ID910,          Hiligaynon,0,3058
ID911,          Ilocano,0,3058
ID912,          Indonesian,0,3058
ID913,          Kankanaey,0,3058
ID914,          Kinaray-a,0,3058
ID916,            Merina,0,3058
ID917,"            Malagasy, n.o.s.",0,3058
ID918,          Malay,0,3058
ID919,"          Pampangan (Kapampangan, Pampango)",0,3058
ID920,          Pangasinan,0,3058
ID921,"          Tagalog (Pilipino, Filipino)",40,3058
ID922,          Waray-Waray,0,3058
ID925,          Haitian Creole,0,3058
ID926,          Jamaican English Creole,0,3058
ID927,          Krio,0,3058
ID928,          Morisyen,0,3058
ID929,          Sango,0,3058
ID930,"          Creole, n.o.s.",0,3058
ID933,          Kannada,0,3058
ID934,          Malayalam,35,3058
ID935,          Tamil,35,3058
ID936,          Telugu,0,3058
ID937,          Tulu,0,3058
ID939,        Georgian,0,3058
ID942,          Albanian,0,3058
ID943,          Armenian,0,3058
ID946,              Latvian,0,3058
ID947,              Lithuanian,0,3058
ID949,              Belarusian,0,3058
ID950,              Bulgarian,0,3058
ID951,              Czech,0,3058
ID952,              Macedonian,0,3058
ID953,              Polish,25,3058
ID954,              Russian,50,3058
ID955,              Rusyn,0,3058
ID956,              Serbo-Croatian,0,3058
ID957,                Bosnian,0,3058
ID958,                Croatian,0,3058
ID959,                Serbian,0,3058
ID960,"                Serbo-Croatian, n.i.e.",0,3058
ID961,              Slovak,0,3058
ID962,              Slovene (Slovenian),0,3058
ID963,              Ukrainian,0,3058
ID966,            Irish,0,3058
ID967,            Scottish Gaelic,0,3058
ID968,            Welsh,0,3058
ID971,            Frisian,0,3058
ID973,              German,0,3058
ID974,              Pennsylvania German,0,3058
ID975,              Swiss German,0,3058
ID976,              Yiddish,0,3058
ID978,              Afrikaans,0,3058
ID979,              Dutch,0,3058
ID980,"              Low German, n.o.s.",0,3058
ID981,              Low Saxon,0,3058
ID982,              Plautdietsch,0,3058
ID983,              Vlaams (Flemish),0,3058
ID985,              Danish,0,3058
ID986,              Icelandic,0,3058
ID987,              Norwegian,0,3058
ID988,              Swedish,0,3058
ID990,          Greek,0,3058
ID993,              Assamese,0,3058
ID994,              Bengali,0,3058
ID995,              Gujarati,40,3058
ID996,              Hindi,15,3058
ID997,              Kacchi,0,3058
ID998,              Kashmiri,0,3058
ID999,              Konkani,0,3058
ID1000,              Marathi,0,3058
ID1001,              Nepali,0,3058
ID1003,                Odia,0,3058
ID1004,"                Oriya, n.o.s.",0,3058
ID1005,              Punjabi (Panjabi),50,3058
ID1006,              Rohingya,0,3058
ID1007,              Sindhi,0,3058
ID1008,              Sinhala (Sinhalese),0,3058
ID1009,              Urdu,0,3058
ID1012,              Baluchi,0,3058
ID1013,              Kurdish,0,3058
ID1014,              Parsi,0,3058
ID1015,              Pashto,0,3058
ID1017,                Dari,0,3058
ID1018,                Iranian Persian,0,3058
ID1019,"                Persian (Farsi), n.o.s.",0,3058
ID1023,            Catalan,0,3058
ID1024,            Italian,10,3058
ID1025,            Portuguese,20,3058
ID1026,            Romanian,20,3058
ID1027,            Spanish,30,3058
ID1030,        Japanese,0,3058
ID1031,        Korean,0,3058
ID1032,        Mongolian,0,3058
ID1034,          Akan (Twi),0,3058
ID1035,          Bamanankan,0,3058
ID1036,          Edo,0,3058
ID1037,          Éwé,0,3058
ID1038,"          Fulah (Pular, Pulaar, Fulfulde)",0,3058
ID1039,          Ga,0,3058
ID1040,          Ganda,0,3058
ID1041,          Gikuyu,0,3058
ID1042,          Igbo,0,3058
ID1043,          Kinyarwanda (Rwanda),0,3058
ID1044,          Lingala,0,3058
ID1045,          Luba-Kasai,0,3058
ID1046,          Mòoré,0,3058
ID1047,          Mwani,0,3058
ID1048,          Ndebele,0,3058
ID1049,          Rundi (Kirundi),0,3058
ID1050,          Shona,0,3058
ID1051,          Soninke,0,3058
ID1053,          Swahili,0,3058
ID1054,          Wojenaka,0,3058
ID1055,          Wolof,0,3058
ID1056,          Yoruba,0,3058
ID1059,          Dinka,0,3058
ID1060,          Nuer,0,3058
ID1062,"          African, n.o.s.",0,3058
ID1064,          American Sign Language,0,3058
ID1065,          Quebec Sign Language,0,3058
ID1069,            Hakka,0,3058
ID1070,            Mandarin,30,3058
