name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
new_edinburgh_3077,0.01814882032667876,0.07102272727272728,0.07867132867132867,0.14285714285714285,122200,68000,61.6,0.1947069943289225,0.16824196597353497,0.03571428571428571,0.07142857142857142,0.08949416342412451,3077
north_gower_kars_3078,0.04651162790697674,0.031,0.07233273056057866,0.0915032679738562,120400,50000,67.7,0.11494252873563218,0.10632183908045977,0.01955307262569832,0.05586592178770949,0.05491329479768786,3078
old_barrhaven_east_3079,0.05759757483895415,0.05918153200419727,0.1072202166064982,0.1837638376383764,110300,45200,71.9,0.15653775322283608,0.14303253529772866,0.06572481572481573,0.01904176904176904,0.08089607965152458,3079
old_barrhaven_west_3080,0.04699093157460841,0.05018960517510595,0.1058438904781365,0.1361926260346125,114100,50000,67.4,0.12715654952076677,0.1169329073482428,0.03446075303126994,0.02935545628589661,0.05164622336991607,3080
old_hunt_club_3081,0.07220216606498195,0.1017618469015796,0.1161251504211793,0.1976112920738328,100200,43200,60.9,0.16588419405320814,0.14945226917057902,0.07265625,0.06796875,0.11853619729514718,3081
old_ottawa_east_3082,0.02662406815761448,0.1336104513064133,0.10223953261927946,0.1016548463356974,113200,50000,69.3,0.2696774193548387,0.20258064516129032,0.08375634517766498,0.05583756345177665,0.09392265193370164,3082
old_ottawa_south_3083,0.0186335403726708,0.04898911353032659,0.10220994475138122,0.13370473537604458,149600,64000,67.2,0.14910536779324057,0.12524850894632206,0.02178217821782178,0.08316831683168317,0.0548780487804878,3083
orleans_village_chateauneuf_3085,0.05285234899328859,0.03342245989304813,0.09499575911789652,0.12696148359486448,112600,48400,62.2,0.08591885441527446,0.081145584725537,0.03206650831353919,0.04038004750593824,0.03597122302158273,3085
osgoode_vernon_3086,0.09149277688603533,0.04549509366636931,0.06636500754147813,0.1016949152542373,111800,46400,71.1,0.12121212121212122,0.11868686868686867,0.0145631067961165,0.08009708737864078,0.07575757575757576,3086
overbrook_3087,0.15695067264573992,0.19725102483723173,0.14961832061068703,0.2885572139303483,72300,32800,57.3,0.25293788472299944,0.23167319529938443,0.10144927536231883,0.09698996655518397,0.19404693760732689,3087
parkwood_hills_3088,0.17405582922824303,0.2309623430962343,0.1761744966442953,0.25769230769230766,64100,24400,64.5,0.3918918918918919,0.36711711711711714,0.24161073825503357,0.07158836689038031,0.3210161662817552,3088
pineview_3089,0.11273792093704246,0.07568438003220612,0.1002994011976048,0.24709302325581395,93300,40400,64.5,0.16379310344827586,0.15301724137931033,0.08387096774193549,0.08602150537634409,0.1111111111111111,3089
