ONS_name,ONS_ID,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,pop
VAR_ID,VAR200,VAR6,VAR7,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR201
kinburn_3062,3062,90,0.100558659,145,2.8,905,0.932989691,0.067010309,0.05,45,4.2,1440,1484,60,0,0,1110,1000,3.1,0.068322981,55,0.068322981,1.8,120600,136000,74000,general
laurentian_3063,3063,695,0.220285261,1535,2.3,2805,0.584375,0.415625,0.136315229,640,2.7,1360,1926,2000,2.5,29.7,1310,1394,2.9,0.153354633,480,0.153354633,1.7,148200,178000,90800,general
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
ledbury_heron_gate_ridgemont_3065,3065,2180,0.418426104,1880,2.5,1270,0.229864253,0.769230769,0.278765201,1490,13.2,1360,1380,4255,31.4,32.5,1180,1121,3.3,0.347893916,1115,0.347893916,2.2,76000,83000,59900,general
leslie_park_bruce_farm_3066,3066,245,0.342657343,460,2.2,990,0.733333333,0.266666667,0.096654275,130,7.6,1320,1336,365,0,15.3,1680,1720,2.7,0.219512195,180,0.219512195,1.6,106600,116000,84000,general
lowertown_east_3067,3067,855,0.513513514,1950,1.9,510,0.140302613,0.858321871,0.20729927,710,6.1,1500,1720,3120,38,23.2,1100,1103,2.9,0.316901408,450,0.316901408,2,86700,98000,62000,general
lowertown_west_3068,3068,205,0.5,1990,1.5,1145,0.329971182,0.670028818,0.156534954,515,5.5,1700,1832,2330,12,20.5,1300,1346,2.2,0.131687243,160,0.131687243,1.3,106800,113000,60400,general
manor_park_3069,3069,610,0.334246575,1840,1.9,2040,0.480565371,0.520612485,0.170673077,710,7.5,1280,1596,2210,27.8,26.1,1160,1134,2.6,0.217977528,485,0.217977528,1.5,101800,111000,59800,general
manotick_3070,3070,375,0.114854518,600,2.7,3550,0.929319372,0.070680628,0.038873995,145,2.6,1490,1978,270,13,22.4,1620,1860,2.9,0.078220859,255,0.078220859,1.8,166600,172000,103000,general
marlborough_3071,3071,100,0.147058824,125,2.7,760,0.904761905,0.095238095,0.06918239,55,6.9,1340,1448,75,0,0,1120,1120,2.8,0.127659574,90,0.127659574,1.8,125600,137000,108000,general
